Palabra 1,Palabra 2,Palabra 3,Probabilidad,Posibles soluciones,Conteo de Coincidencias
creps,mundo,vital,90.0,"mundo, vital",2
clips,debut,norma,89.93197278911565,"debut, norma",2
clips,orden,tumba,89.93197278911565,"orden, tumba",2
creps,lindo,tumba,89.93197278911565,"lindo, tumba",2
clubs,mitad,poner,89.93197278911565,"mitad, poner",2
clubs,mando,tigre,89.79591836734694,"mando, tigre",2
sprint,cueva,doble,89.1156462585034,"cueva, doble",2
bruts,campo,nivel,89.1156462585034,"campo, nivel",2
corps,nivel,tumba,89.1156462585034,"nivel, tumba",2
clips,debut,rango,89.04761904761905,"debut, rango",2
clips,debut,grano,89.04761904761905,"debut, grano",2
clips,mundo,traje,89.04761904761905,"mundo, traje",2
prest,facil,mundo,89.04761904761905,"facil, mundo",2
fracs,debut,limon,88.91156462585035,"debut, limon",2
sprint,celda,mucho,88.77551020408163,"celda, mucho",2
prest,ducha,limon,88.77551020408163,"ducha, limon",2
chips,letra,mundo,88.77551020408163,"letra, mundo",2
chips,multa,orden,88.77551020408163,"multa, orden",2
chist,mundo,pelar,88.77551020408163,"mundo, pelar",2
lunch,mitad,preso,88.77551020408163,"mitad, preso",2
chuts,limon,pared,88.77551020408163,"limon, pared",2
chuts,limon,padre,88.77551020408163,"limon, padre",2
lunch,mitad,verso,88.70748299319727,"mitad, verso",2
lunch,mitad,sobre,88.63945578231292,"mitad, sobre",2
lunch,demas,trigo,88.63945578231292,"demas, trigo",2
lunch,demas,grito,88.63945578231292,"demas, grito",2
chist,mundo,regla,88.63945578231292,"mundo, regla",2
chuts,debil,norma,88.63945578231292,"debil, norma",2
chist,album,orden,88.63945578231292,"album, orden",2
light,cesar,mundo,88.63945578231292,"cesar, mundo",2
creps,junta,movil,88.2312925170068,"junta, movil",2
sprint,dulce,oveja,88.2312925170068,"dulce, oveja",2
sprint,celda,juego,88.16326530612245,"celda, juego",2
sprint,celda,fuego,88.16326530612245,"celda, fuego",2
clips,borde,junta,88.16326530612245,"borde, junta",2
corps,debut,final,88.16326530612245,"debut, final",2
corps,debil,junta,88.16326530612245,"debil, junta",2
fracs,debil,punto,88.16326530612245,"debil, punto",2
bruts,clima,joven,88.0952380952381,"clima, joven",2
cents,bruja,movil,88.0952380952381,"bruja, movil",2
zincs,multa,poder,88.09523809523809,"multa, poder",2
cents,album,grifo,88.02721088435375,"album, grifo",2
films,cerdo,junta,88.02721088435374,"cerdo, junta",2
sprint,ducha,vuelo,87.95918367346938,"ducha, vuelo",2
sprint,celda,huevo,87.95918367346938,"celda, huevo",2
zincs,debut,moral,87.95918367346938,"debut, moral",2
lunch,poder,vista,87.95918367346938,"poder, vista",2
zincs,borde,multa,87.95918367346938,"borde, multa",2
sport,ducha,nivel,87.95918367346938,"ducha, nivel",2
lunch,gesto,prima,87.89115646258504,"gesto, prima",2
chips,broma,tunel,87.89115646258504,"broma, tunel",2
lunch,gesto,impar,87.89115646258504,"gesto, impar",2
chuts,limon,pegar,87.89115646258504,"limon, pegar",2
chips,gramo,tunel,87.89115646258504,"gramo, tunel",2
light,comun,pesar,87.89115646258504,"comun, pesar",2
chist,album,poner,87.89115646258504,"album, poner",2
prest,album,chino,87.89115646258504,"album, chino",2
chips,angel,tumor,87.89115646258504,"angel, tumor",2
chips,album,norte,87.89115646258504,"album, norte",2
sprint,cable,mucho,87.89115646258504,"cable, mucho",2
chips,droga,tunel,87.89115646258503,"droga, tunel",2
sprint,doble,lucha,87.89115646258503,"doble, lucha",2
sprint,doble,ducha,87.89115646258503,"doble, ducha",2
grand,pecho,sutil,87.89115646258503,"pecho, sutil",2
chips,grado,tunel,87.89115646258503,"grado, tunel",2
lunch,borde,pista,87.89115646258503,"borde, pista",2
chuts,lindo,pegar,87.89115646258503,"lindo, pegar",2
chuts,lider,vagon,87.82312925170068,"lider, vagon",2
chuts,broma,nivel,87.82312925170068,"broma, nivel",2
chuts,droga,nivel,87.82312925170068,"droga, nivel",2
light,curva,menos,87.82312925170068,"curva, menos",2
lunch,borde,vista,87.82312925170068,"borde, vista",2
chuts,grave,lindo,87.82312925170068,"grave, lindo",2
chuts,grave,limon,87.82312925170068,"grave, limon",2
chuts,gramo,nivel,87.82312925170068,"gramo, nivel",2
clips,extra,mundo,87.82312925170068,"extra, mundo",2
chuts,grado,nivel,87.82312925170068,"grado, nivel",2
lunch,tigre,vamos,87.82312925170068,"tigre, vamos",2
chuts,movil,negar,87.82312925170068,"movil, negar",2
lunch,ambos,tigre,87.75510204081634,"ambos, tigre",2
light,comun,saber,87.75510204081634,"comun, saber",2
stand,mucho,rifle,87.75510204081633,"mucho, rifle",2
films,ducha,norte,87.75510204081633,"ducha, norte",2
lunch,datos,firme,87.75510204081633,"datos, firme",2
pymes,crudo,latin,87.75510204081633,"crudo, latin",2
chuts,dejar,limon,87.75510204081633,"dejar, limon",2
chuts,debil,rango,87.75510204081633,"debil, rango",2
chuts,mando,rifle,87.75510204081633,"mando, rifle",2
chuts,debil,grano,87.75510204081633,"debil, grano",2
clips,debut,gramo,87.61904761904762,"debut, gramo",2
clips,grave,mundo,87.4829931972789,"grave, mundo",2
sprint,fuego,vocal,87.34693877551021,"fuego, vocal",2
sprint,juego,vocal,87.34693877551021,"juego, vocal",2
